BTCUSDT,ETHUSDT,date
54928.78,1695.49,2021-03-27
54975.98,1695.78,2021-03-27
54940.36,1694.09,2021-03-27
54800.72,1688.29,2021-03-27
54812.76,1688.66,2021-03-27
54841.09,1689.88,2021-03-27
54753.56,1689.45,2021-03-27
54690.41,1687.51,2021-03-27
54680.0,1686.78,2021-03-27
54315.0,1676.52,2021-03-27
54437.12,1678.39,2021-03-27
54396.65,1678.49,2021-03-27
54506.25,1681.44,2021-03-27
54621.7,1684.92,2021-03-27
54634.32,1686.0,2021-03-27
54804.56,1687.15,2021-03-27
54666.34,1683.96,2021-03-27
54585.53,1682.03,2021-03-27
54544.71,1683.24,2021-03-27
54576.98,1684.45,2021-03-27
54442.89,1681.12,2021-03-27
54588.48,1684.72,2021-03-27
54176.75,1672.82,2021-03-27
54100.0,1672.21,2021-03-27
54012.71,1670.56,2021-03-27
54077.4,1672.42,2021-03-27
54143.44,1672.41,2021-03-27
54252.72,1676.17,2021-03-27
54156.45,1671.95,2021-03-27
54153.9,1672.93,2021-03-27
53988.13,1666.78,2021-03-27
54200.0,1675.07,2021-03-27
54291.28,1679.2,2021-03-27
54355.99,1681.11,2021-03-27
54349.43,1681.25,2021-03-27
54250.0,1677.84,2021-03-27
54354.65,1680.66,2021-03-27
54272.79,1677.0,2021-03-27
54215.76,1675.0,2021-03-27
54279.62,1676.59,2021-03-27
54290.01,1675.98,2021-03-27
54096.71,1671.15,2021-03-27
54206.12,1675.58,2021-03-27
54564.38,1682.39,2021-03-27
54735.64,1683.66,2021-03-27
54600.82,1678.48,2021-03-27
54614.31,1678.74,2021-03-27
54521.09,1675.06,2021-03-27
54472.26,1675.84,2021-03-27
54486.31,1676.28,2021-03-27
54443.01,1676.24,2021-03-27
54501.76,1679.27,2021-03-27
54642.72,1680.81,2021-03-27
54560.86,1680.11,2021-03-27
54635.86,1681.63,2021-03-27
54608.83,1679.22,2021-03-27
54630.06,1681.01,2021-03-27
54575.84,1681.57,2021-03-27
54649.5,1682.77,2021-03-27
54788.88,1685.2,2021-03-27
55018.12,1687.91,2021-03-27
54864.44,1686.69,2021-03-27
54924.06,1686.9,2021-03-27
54833.4,1686.2,2021-03-27
54824.86,1683.61,2021-03-27
54791.22,1682.7,2021-03-27
54871.45,1683.7,2021-03-27
54872.46,1681.59,2021-03-27
54961.85,1682.5,2021-03-27
55278.16,1693.54,2021-03-27
55177.93,1688.89,2021-03-27
55666.84,1697.94,2021-03-27
55601.99,1697.7,2021-03-27
55655.27,1699.1,2021-03-27
55553.72,1696.15,2021-03-27
55449.65,1692.61,2021-03-27
55588.59,1694.52,2021-03-27
55672.94,1696.22,2021-03-27
55763.66,1698.92,2021-03-27
55999.87,1705.47,2021-03-27
56167.46,1706.43,2021-03-27
56090.7,1709.09,2021-03-27
56037.69,1708.54,2021-03-27
56020.41,1707.16,2021-03-27
55961.86,1706.29,2021-03-27
55938.75,1706.15,2021-03-27
56071.87,1708.82,2021-03-27
56080.36,1708.23,2021-03-27
56086.61,1707.37,2021-03-27
56082.16,1708.72,2021-03-27
56013.01,1708.86,2021-03-27
55954.45,1707.91,2021-03-27
56084.74,1710.59,2021-03-27
55967.91,1707.38,2021-03-27
55950.28,1707.74,2021-03-27
55853.56,1705.59,2021-03-27
55941.98,1708.33,2021-03-27
55870.21,1707.4,2021-03-27
55659.06,1703.36,2021-03-27
55777.38,1705.56,2021-03-27
55707.81,1702.49,2021-03-27
55571.25,1701.01,2021-03-27
55697.24,1704.63,2021-03-27
55834.22,1707.61,2021-03-27
